,wine name,winery,wine year,wine rating,wine price,wine region,wine country,grape information,wine acidity,wine intensity,wine sweetness,wine tannin,wine description
160,Colheita Port,Poças,1994,3.9,59.99,Porto,Portugal,Touriga Nacional,,,,,
161,Very Old Single Harvest Port,Taylor's,1965,4.7,294.9,Porto,Portugal,Touriga Nacional,,,,,
162,Vintage Port,Delaforce,2000,4.0,59.99,Porto,Portugal,Touriga Nacional,,,,,
163,Vintage Port,Taylor's,1963,4.7,399.99,Porto,Portugal,Touriga Nacional,,,,,
164,Vintage Port,Cockburn's,1997,4.4,99.99,Porto,Portugal,Touriga Nacional,,,,,
165,Vintage Port,Fonseca,1994,4.6,169.0,Porto,Portugal,Touriga Nacional,,,,,
166,Very Old Single Harvest Port,Taylor's,1964,4.7,284.9,Porto,Portugal,Touriga Nacional,,,,,
167,Oloroso Tradición Vors 30 Years,Bodegas Tradición,N.V.,4.3,89.99,Oloroso Sherry,Spain,Palomino,3.7752736000000002,4.000175,3.0937638,,
168,Boal Single Harvest Madeira,Henriques & Henriques,2000,4.3,74.99,Madeira,Portugal,Verdelho,3.9969281999999997,4.47358,4.745866,,
169,Colheita Port,Kopke,1937,4.8,907.48,Porto,Portugal,Touriga Nacional,,,,,
170,Vintage Port,Smith Woodhouse,1980,4.3,89.99,Porto,Portugal,Touriga Nacional,,,,,
171,Colheita Port,Kopke,1987,4.4,89.99,Porto,Portugal,Touriga Nacional,,,,,
172,Porto White Colheita,Kopke,2003,4.1,77.01,Porto,Portugal,Touriga Nacional,,,,,
173,20 Years Old Tawny Port,Dow's,2020,4.4,56.99,Porto,Portugal,Touriga Nacional,,,,,
174,Vintage Port,Dow's,1997,4.3,74.94,Porto,Portugal,Touriga Nacional,,,,,
175,Very Old Single Harvest Port,Taylor's,1969,4.7,249.99,Porto,Portugal,Touriga Nacional,,,,,
176,Vintage Porto,Ramos Pinto,1994,4.3,75.0,Porto,Portugal,Touriga Nacional,,,,,
177,Vintage Port,Quinta do Portal,2000,3.9,81.78,Porto,Portugal,Touriga Nacional,,,,,
178,Vintage Port,Quinta do Portal,1995,4.6,97.65,Porto,Portugal,Touriga Nacional,,,,,
179,Vintage Port,Niepoort,2017,4.6,84.99,Porto,Portugal,Touriga Nacional,,,,,
180,Don PX Convento Selección,Toro Albalá,1955,4.7,299.0,Montilla-Moriles,Spain,Pedro Ximenez,2.9062164,4.9002385,4.937233999999999,,
181,Colheita Port,Kopke,1978,4.5,166.36,Porto,Portugal,Touriga Nacional,,,,,
182,Vintage Port,Quinta do Noval,2000,4.4,270.31,Porto,Portugal,Touriga Nacional,,,,,
183,Dalva Vintage Porto,C. da Silva,2011,4.0,73.23,Porto,Portugal,Touriga Nacional,,,,,
184,Quinta da Roeda Vintage Port,Croft,1995,4.2,69.0,Porto,Portugal,Touriga Nacional,,,,,
185,Late Bottled Vintage Unfiltered Port,Fonseca,2005,3.9,105.99,Porto,Portugal,Touriga Nacional,,,,,
186,Vintage Porto,Ramos Pinto,1985,4.4,139.85,Porto,Portugal,Touriga Nacional,,,,,
187,Vintage Port,Quinta do Noval,1982,4.3,64.0,Porto,Portugal,Touriga Nacional,,,,,
188,Vintage Port,Quinta do Noval,1963,4.7,280.0,Porto,Portugal,Touriga Nacional,,,,,
189,Vintage Port,Cockburn's,1983,4.3,119.0,Porto,Portugal,Touriga Nacional,,,,,
190,Vintage Port,Sandeman,1994,4.4,99.99,Porto,Portugal,Touriga Nacional,,,,,
191,Vintage Port,Churchill's,1994,4.4,99.93,Porto,Portugal,Touriga Nacional,,,,,
192,Boal Madeira,D'Oliveiras,1987,4.4,139.0,Madeira,Portugal,Verdelho,3.9585782999999997,4.737891,4.794976,,
193,Adelaide Vintage Port,Quinta do Vallado,2009,4.5,89.99,Porto,Portugal,Touriga Nacional,,,,,
194,Vintage Port,Gould Campbell,1980,4.3,149.99,Porto,Portugal,Touriga Nacional,,,,,
195,Vintage Port,W. & J. Graham's,1985,4.5,136.5,Porto,Portugal,Touriga Nacional,,,,,
196,Vintage Port,Croft,1975,4.1,211.5,Porto,Portugal,Touriga Nacional,,,,,
197,Vintage Port,Warre's,1983,4.3,70.0,Porto,Portugal,Touriga Nacional,,,,,
198,Vintage Port,Taylor's,1970,4.7,749.0,Porto,Portugal,Touriga Nacional,,,,,
199,Port Vintage Quinta Do Cachão,Messias,1983,4.1,64.0,Porto,Portugal,Touriga Nacional,,,,,
200,Porto Vintage,Quinta Nova de Nossa Senhora do Carmo,2013,4.3,80.0,Porto,Portugal,Touriga Nacional,,,,,
201,Vintage Port,Quinta do Vesuvio,1992,4.5,168.99,Porto,Portugal,Touriga Nacional,,,,,
202,Dalva Colheita Porto,C. da Silva,1968,4.7,409.0,Porto,Portugal,Touriga Nacional,,,,,
203,Colheita Port,Maynard's,1974,4.2,190.3,Porto,Portugal,Touriga Nacional,,,,,
204,Vintage Port,Poças,1996,3.9,56.8,Porto,Portugal,Touriga Nacional,,,,,
205,Colheita Single Harvest Tawny Port,Dow's,1972,4.2,360.63,Porto,Portugal,Touriga Nacional,,,,,
206,Vintage Port,Delaforce,2003,4.1,57.99,Porto,Portugal,Touriga Nacional,,,,,
207,Colheita Port,Krohn,1998,3.8,61.5,Porto,Portugal,Touriga Nacional,,,,,
208,Colheita Port,Krohn,1966,4.8,299.26,Porto,Portugal,Touriga Nacional,,,,,
209,Colheita Port,Krohn,1978,4.6,166.12,Porto,Portugal,Touriga Nacional,,,,,
210,Vintage Port,Quinta de Santa Eufémia,2008,4.4,60.0,Porto,Portugal,Touriga Nacional,,,,,
211,Colheita Port,Krohn,1968,4.8,299.0,Porto,Portugal,Touriga Nacional,,,,,
212,Port Vintage Quinta Do Cachão,Messias,1979,4.6,207.59,Porto,Portugal,Touriga Nacional,,,,,
213,Vintage Port,Quinta de La Rosa,2005,4.1,69.56,Porto,Portugal,Touriga Nacional,,,,,
214,Sercial Madeira,Blandy's,1975,4.5,129.58,Madeira,Portugal,Verdelho,4.021,4.7246,4.1842003,,
215,Vintage Port Nacional,Quinta do Noval,2000,4.8,600.0,Porto,Portugal,Touriga Nacional,,,,,
216,Vintage Port,Quinta do Noval,2004,4.3,175.77,Porto,Portugal,Touriga Nacional,,,,,
217,Vintage Port,Niepoort,1994,4.0,142.5,Porto,Portugal,Touriga Nacional,,,,,
218,Vintage Port,Croft,1994,4.3,59.99,Porto,Portugal,Touriga Nacional,,,,,
219,Vintage Port,Quinta do Infantado,2011,4.2,84.83,Porto,Portugal,Touriga Nacional,,,,,
220,Dalva 71 Golden White Colheita Porto,C. da Silva,1963,4.7,251.62,Porto,Portugal,Touriga Nacional,,,,,
221,Port Tawny Colheita,Quinta do Noval,1976,4.6,307.44,Porto,Portugal,Touriga Nacional,,,,,
222,Vintage Port,Dow's,1963,4.7,299.99,Porto,Portugal,Touriga Nacional,,,,,
223,Verdelho Madeira,D'Oliveiras,1973,4.6,215.0,Madeira,Portugal,Verdelho,3.9911415999999997,4.8969830000000005,4.8604894,,
224,Sercial Madeira,D'Oliveiras,1977,4.2,185.0,Madeira,Portugal,Verdelho,4.1519723,4.9368334,4.206722,,
225,Vintage Port,Quinta do Noval,1997,4.5,274.99,Porto,Portugal,Touriga Nacional,,,,,
226,Vintage Port,Niepoort,2011,4.7,101.99,Porto,Portugal,Touriga Nacional,,,,,
227,Porto Bioma Vintage Vinha Velha,Niepoort,2016,4.3,127.76,Porto,Portugal,Touriga Nacional,,,,,
228,Colheita Port,Kopke,1966,4.7,256.5,Porto,Portugal,Touriga Nacional,,,,,
229,Vintage Port,Niepoort,2000,4.3,124.83,Porto,Portugal,Touriga Nacional,,,,,
230,Quinta de Vargellas Vintage Port,Taylor's,1991,4.5,119.95,Porto,Portugal,Touriga Nacional,,,,,
231,Colheita Port,Kopke,2000,4.0,72.68,Porto,Portugal,Touriga Nacional,,,,,
232,Vintage Port,Gould Campbell,2000,4.2,70.64,Porto,Portugal,Touriga Nacional,,,,,
233,Colheita Port,Kopke,1967,4.6,139.99,Porto,Portugal,Touriga Nacional,,,,,
234,Vintage Port,Quinta do Vesuvio,2000,4.4,62.99,Porto,Portugal,Touriga Nacional,,,,,
235,Marqués de Poley Amontillado Selección 1951,Toro Albalá,1951,4.5,189.75,Montilla-Moriles,Spain,Pedro Ximenez,3.0,5.0,4.375926,,
236,Ginés Liébana Pedro Ximénez,Toro Albalá,1910,4.6,856.3,Montilla-Moriles,Spain,Pedro Ximenez,3.0,5.0,4.8323526,,
237,Vintage Port,W. & J. Graham's,1983,4.4,89.0,Porto,Portugal,Touriga Nacional,,,,,
238,Vintage Port,Fonseca,1997,4.3,78.93,Porto,Portugal,Touriga Nacional,,,,,
239,Colheita Port,Kopke,2003,4.2,58.02,Porto,Portugal,Touriga Nacional,,,,,
240,Vintage Port,Fonseca,2003,4.3,98.5,Porto,Portugal,Touriga Nacional,,,,,
241,Pintas Vintage Port,Wine & Soul,2016,4.3,93.62,Porto,Portugal,Touriga Nacional,,,,,
242,Pintas Vintage Port,Wine & Soul,2017,4.3,93.75,Porto,Portugal,Touriga Nacional,,,,,
243,Vintage Port,Quinta do Noval,2011,4.6,84.99,Porto,Portugal,Touriga Nacional,,,,,
244,Vintage Port,Cockburn's,2011,4.5,64.99,Porto,Portugal,Touriga Nacional,,,,,
245,Vintage Port,Taylor's,2007,4.2,74.0,Porto,Portugal,Touriga Nacional,,,,,
246,Dalva Vintage Porto,C. da Silva,2000,4.4,71.03,Porto,Portugal,Touriga Nacional,,,,,
247,Vintage Port,Dow's,2011,4.6,189.99,Porto,Portugal,Touriga Nacional,,,,,
248,Sercial Single Harvest Madeira,Henriques & Henriques,2001,4.3,74.99,Madeira,Portugal,Verdelho,3.9103627,4.7518134000000005,4.315751000000001,,
249,Guimaraens Vintage Port,Fonseca,2010,4.3,62.99,Porto,Portugal,Touriga Nacional,,,,,
250,Porto Bioma Vintage Vinha Velha,Niepoort,2009,3.8,200.0,Porto,Portugal,Touriga Nacional,,,,,
